,sampleId,sampleGroup,SVA,Alu,HERV,PolyA,total,L1
2972,c7daa80b-6526-4fd6-9c0f-774e4f4d2e99,LUAD,3.0,20.0,3.0,1.0,27,0.0
2973,c84c951d-cb36-4ad9-996f-ac86c5598fa6,LUAD,1.0,30.0,1.0,0.0,33,1.0
2974,c85159f9-0852-4637-a935-a6339b3fe649,LUAD,0.0,24.0,1.0,0.0,25,0.0
2975,c9032291-b671-4280-96d2-7a5806e66886,LUAD,0.0,1.0,0.0,2.0,3,0.0
2976,c927c19d-2dbe-402f-a655-922c1f80d303,LUAD,0.0,23.0,2.0,0.0,27,2.0
2977,c977ad0a-d1ea-4c15-82b0-a1d8f9c24c02,LUAD,1.0,32.0,1.0,1.0,37,2.0
2978,c9d3012f-df50-4548-9c1e-36398cedc853,LUAD,4.0,19.0,4.0,2.0,30,1.0
2979,ca22b39f-022c-4fcf-8d68-3c52d869cce2,LUAD,1.0,17.0,3.0,0.0,21,0.0
2980,ca56ea0c-519c-445b-a6c2-054f2d85d2dc,LUAD,2.0,7.0,0.0,0.0,9,0.0
2981,cae8f47b-abf9-4138-b20b-3252102e166b,LUAD,0.0,21.0,3.0,1.0,25,0.0
2982,cbd63c65-48ba-44d5-87d0-01eac5a02f8e,LUAD,1.0,6.0,1.0,1.0,9,0.0
2983,cbdbeb39-fd66-4ba8-a36d-8b00c68aee24,LUAD,4.0,11.0,2.0,1.0,23,5.0
2984,cc55db37-edb8-4a13-a12e-492bee95fd1e,LUAD,0.0,15.0,0.0,1.0,16,0.0
2985,cd1b6c7a-c156-4c24-9609-8be698dbb895,LUAD,2.0,49.0,3.0,2.0,62,6.0
2986,ce1a2f24-9bdc-4bc5-affc-04ab7c986425,LUAD,0.0,13.0,4.0,0.0,18,1.0
2987,ce5d43f2-0af2-47ff-afc6-fab78c4cbe83,LUAD,1.0,6.0,4.0,0.0,11,0.0
2988,ce67ab15-01b3-4955-bd22-2266265fde9e,LUAD,3.0,33.0,8.0,0.0,45,1.0
2989,ce72f3c6-7ee4-4c96-b52a-1b14889ff670,LUAD,0.0,12.0,2.0,1.0,16,1.0
